"TAG","MODELO","OM","DATA","ÁREA DE INSPEÇÃO","HORÍMETRO","Analista Técnico","LADO","RODA GUIA","ELO","MOTRIZ(3 GARRAS)","ROLETE SUPERIOR 1","ROLETE SUPERIOR 2","ROLETE SUPERIOR 3","ROLETE SUPERIOR 4","ROLETE SUPERIOR 5","SAPATA","PASSO DA ESTEIRA","BUCHA","ROLETE INFERIOR","ROLETES DANIFICADOS (VISUAL)."
"1101PF1601","Pit Viper/DR416i","202503926856 ","8/18/2025","FASE 6","9,240","BRUNO SILVA","LC (lado cabine)","25","154","277","189","189","189","189","189","81","1,045","13.8","70.3","0"
"1101PF1601","Pit Viper/DR416i","202503926856 ","8/18/2025","FASE 6","9,240","BRUNO SILVA","LNC(lado não cabine)","25","154","278","189","189","190","190","189","82.5","1,045","13.9","70.5","1"
"1101PF1601","Pit Viper/DR416i","202504627719","9/19/2025","PÁTIO 320","9,553","BRUNO SILVA","LC (lado cabine)","22.5","154","275","189","189","189","189","189","81","1,045.5","13.7","70.2","0"
"1101PF1601","Pit Viper/DR416i","202504627719","9/19/2025","PÁTIO 320","9,553","BRUNO SILVA","LNC(lado não cabine)","26","154","280","189","189","189","189","189","82","1,045","13.8","70.9","2"
"PZ1001SA02","Pit Viper/DR416i","202503858807","8/18/2025","PÁTIO 320","45,917","BRUNO SILVA","LC (lado cabine)","23","152","282","189","189","189","189","188","81","1,045","13.9","69.3","0"
"PZ1001SA02","Pit Viper/DR416i","202503858807","8/18/2025","PÁTIO 320","45,917","BRUNO SILVA","LNC(lado não cabine)","23","152","280","189","189","189","189","188","82","1,046","13.9","69","0"
"PZ1001SA02","Pit Viper/DR416i","202504947915","10/7/2025","PÁTIO 320","45,601","BRUNO SILVA","LC (lado cabine)","23.5","152","279","189","189","189","189","188","80.5","1,047","13.8","69","0"
"PZ1001SA02","Pit Viper/DR416i","202504947915","10/7/2025","PÁTIO 320","45,601","BRUNO SILVA","LNC(lado não cabine)","23.5","152","279","189","189","189","189","188","81","1,047","13.8","69","0"
"PZ1001SA03","Pit Viper/DR416i","202503099260","8/1/2025","FASE 5","39,050","BRUNO SILVA","LC (lado cabine)","23","155","283","189","190","189","189","189","84","1,045","13.7","64","5"
"PZ1001SA03","Pit Viper/DR416i","202503099260","8/1/2025","FASE 5","39,050","BRUNO SILVA","LNC(lado não cabine)","24","155","283","189","190","189","190","189","84","1,045","13.9","64.5","0"
