"Título","Componente","Modelo","Novo","Limite de desgaste"
,"RODA GUIA","Pit Viper/DR416i","22.5","34.5"
,"ELO","Pit Viper/DR416i","155.5","142.5"
,"MOTRIZ(3 GARRAS)","Pit Viper/DR416i","284","270"
,"ROLETE SUPERIOR     ","Pit Viper/DR416i","190","167.5"
,"SAPATA","Pit Viper/DR416i","85","70.6"
,"PASSO DA ESTEIRA","Pit Viper/DR416i","1,042.5","1,055.5"
,"BUCHA","Pit Viper/DR416i","14","10.7"
,"ROLETE INFERIOR","Pit Viper/DR416i","73.9","61.2"
,"RODA GUIA","FlexiROC D65","17.5","25.5"
,"ELO","FlexiROC D65","89","84.2"
,"RODA MOTRIZ","FlexiROC D65","185","165"
,"ROLETES SUPERIOR","FlexiROC D65","100","92"
,"SAPATA","FlexiROC D65","25","6"
,"PASSO DA ESTEIRA","FlexiROC D65","686","698.7"
,"BUCHA","FlexiROC D65","8.2","3.2"
,"ROLETE INFERIOR","FlexiROC D65","43","36.5"
,,,,
